bin__tipo_laboral_Independiente,poly__tipo_credito_4.0,poly__tipo_credito_6.0,poly__tipo_credito_9.0,poly__tipo_credito_10.0,num__capital_prestado,num__plazo_meses,num__edad_cliente,num__total_otros_prestamos,num__cuota_pactada,num__puntaje_datacredito,num__cant_creditosvigentes,num__huella_consulta,num__saldo_mora,num__saldo_total,num__creditos_sectorCooperativo,num__creditos_sectorReal,num__promedio_ingresos_datacredito,Pago_atiempo
0.0,1.0,0.0,0.0,0.0,0.05248101265822784,0.2941176470588235,0.26,0.0006666666666666666,0.039550532258466616,0.7696969696969698,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.02401611459486735,1
0.0,1.0,0.0,0.0,0.0,0.09919409282700421,0.1176470588235294,0.30000000000000004,0.0013333333333333333,0.1578429083953376,0.7712121212121212,0.0,0.24137931034482757,0.0,0.0,0.0,0.0,0.11737844910434511,1
1.0,0.0,0.0,1.0,0.0,0.010907172995780588,0.08823529411764706,0.30000000000000004,0.0013333333333333333,0.03198914556859225,0.6666666666666667,0.08064516129032258,0.0,0.0,0.053666430417434026,0.0,0.04,0.032777350908256724,1
1.0,0.0,0.0,1.0,0.0,0.0051619831223628666,0.0,0.12,0.0006,0.06638216089911679,0.8742424242424243,0.12903225806451613,0.034482758620689655,0.0,0.005387733465518232,0.0,0.24,0.01965591339494338,1
0.0,1.0,0.0,0.0,0.0,0.0224957805907173,0.23529411764705882,0.14,0.00039999999999999996,0.02589901480623616,0.7333333333333334,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.0015745725015976005,1
1.0,0.0,0.0,1.0,0.0,0.0037081856540084387,0.0,0.19999999999999996,0.0006666666666666666,0.06022857160124771,0.5924242424242425,0.11290322580645161,0.06896551724137931,0.0,0.0008127338466704691,0.0,0.16,0.01965591339494338,1
1.0,0.0,0.0,1.0,0.0,0.02546367088607595,0.1764705882352941,0.18000000000000005,0.0006666666666666666,0.03353934693612369,0.5727272727272728,0.03225806451612903,0.034482758620689655,0.0,0.0012083503222984223,0.0,0.0,0.01965591339494338,1
1.0,1.0,0.0,0.0,0.0,0.00691561181434599,0.1176470588235294,0.21999999999999997,0.00046666666666666666,0.02221539791145872,0.6833333333333333,0.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.025036700004652863,0
1.0,0.0,0.0,1.0,0.0,0.15005544303797466,0.23529411764705882,0.28,0.0005333333333333334,0.1392106513640941,0.7303030303030302,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.013095194638286713,0
0.0,1.0,0.0,0.0,0.0,0.06118143459915612,0.1764705882352941,0.14,0.00019999999999999998,0.08080386855319827,0.7545454545454546,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.03128247801811499,0
1.0,0.0,0.0,1.0,0.0,0.07225337552742615,0.23529411764705882,0.19999999999999996,0.00019999999999999998,0.06832180125542135,0.696969696969697,0.03225806451612903,0.06896551724137931,0.013722674325833732,0.00021735450637266996,0.0,0.04,0.01965591339494338,0
1.0,0.0,0.0,1.0,0.0,0.023117130801687764,0.23529411764705882,0.03999999999999998,0.00046666666666666666,0.023637549019830034,0.6075757575757577,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.007846619632961377,1
0.0,0.0,0.0,1.0,0.0,0.022801392405063292,0.23529411764705882,0.03999999999999998,0.0005333333333333334,0.02326435239431321,0.7984848484848486,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.04654131897372199,1
1.0,0.0,0.0,1.0,0.0,0.03196202531645569,0.08823529411764706,0.06,0.0013333333333333333,0.06865118127308398,0.5742424242424242,0.03225806451612903,0.0,0.0,9.616764130877124e-05,0.0,0.04,0.026216632151600052,0
0.0,0.0,0.0,1.0,0.0,0.09539864978902954,0.23529411764705882,0.020000000000000018,0.00039999999999999996,0.08925556338714466,0.7136363636363636,0.04838709677419355,0.034482758620689655,0.0,0.00020093564078336754,0.0,0.04,0.03776349716331579,1
0.0,1.0,0.0,0.0,0.0,0.0806582700421941,0.47058823529411764,0.18000000000000005,0.0,0.04941531269571103,0.7651515151515151,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.028613918785282397,1
