bin__tipo_laboral_Independiente,num__tipo_credito,num__capital_prestado,num__plazo_meses,num__edad_cliente,num__total_otros_prestamos,num__cuota_pactada,num__puntaje_datacredito,num__cant_creditosvigentes,num__huella_consulta,num__saldo_mora,num__saldo_total,num__creditos_sectorCooperativo,num__creditos_sectorReal,num__promedio_ingresos_datacredito
0.0,0.0,0.4936708860759493,0.2941176470588235,0.54,0.0,0.4164183096005965,0.9121212121212121,0.1774193548387097,0.20689655172413793,0.0,0.01843897244484336,0.0,0.08,0.20734607494700194
1.0,0.8333333333333334,0.07360333333333333,0.23529411764705882,0.4,0.003333333333333333,0.06955206583974151,0.7045454545454546,0.04838709677419355,0.1724137931034483,0.0,1.544155216136774e-05,0.0,0.0,0.021536988584727662
1.0,0.0,0.240506329113924,0.1176470588235294,0.62,0.003333333333333333,0.39692898461054965,0.8106060606060606,0.08064516129032258,0.1724137931034483,0.0,0.04437159332971858,0.0,0.0,0.02504194747883574
0.0,0.0,0.046957805907172995,0.23529411764705882,0.7999999999999999,0.0009333333333333333,0.05021874308283076,0.7772727272727273,0.16129032258064516,0.10344827586206896,0.0,0.0012910310383016951,0.0,0.0,0.05340284923488675
1.0,0.0,0.05308016877637131,0.2941176470588235,0.45999999999999996,0.0003333333333333333,0.04636514796792926,0.7181818181818183,0.08064516129032258,0.06896551724137931,0.0,0.0013604202916850565,0.0,0.04,0.024241770732462194
0.0,0.0,0.10674683544303797,0.2941176470588235,0.86,0.001,0.08003367835134724,0.8393939393939394,0.0967741935483871,0.06896551724137931,0.0,0.014935108343011995,0.07692307692307693,0.0,0.07872655906862912
0.0,0.8333333333333334,0.03568556962025317,0.23529411764705882,0.24,0.0005333333333333334,0.03516547190864388,0.7621212121212122,0.06451612903225806,0.10344827586206896,0.0,0.003404373594867619,0.0,0.0,0.03229287350654733
0.0,0.0,0.07025316455696203,0.2941176470588235,0.18000000000000005,0.0009453333333333333,0.06398131297220894,0.7848484848484849,0.08064516129032258,0.0,0.0,0.016531843021571655,0.0,0.0,0.04610227299058921
0.0,0.0,0.06329113924050632,0.2941176470588235,0.24,4.6e-05,0.05719011648418561,0.7484848484848485,0.03225806451612903,0.13793103448275862,0.0,0.00014444692464874378,0.0,0.0,0.025148753177305513
0.0,0.0,0.09768194092827003,1.0,0.30000000000000004,6.8e-05,0.033214121941619656,0.7045454545454546,0.03225806451612903,0.06896551724137931,0.0,2.3650984956018942e-05,0.0,0.04,0.033469258236523504
