threshold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1
0.01,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.02,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.03,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.04,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.05,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.06,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.07,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.08,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.09,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.1,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.11,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.12,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.13,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.14,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.15,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.16,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.17,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.18,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.19,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.2,0.9527856468366384,0.9078004888179114,0.9527856468366384,0.9297492433831412,0.0,0.0,0.0,0.9527856468366384,1.0,0.9758220502901354
0.21,0.9531004091910608,0.9553006733694398,0.9531004091910608,0.9305244860835815,1.0,0.006666666666666667,0.013245033112582781,0.9530856423173804,1.0,0.9759793648234725
0.22,0.9531004091910608,0.9553006733694398,0.9531004091910608,0.9305244860835815,1.0,0.006666666666666667,0.013245033112582781,0.9530856423173804,1.0,0.9759793648234725
0.23,0.9531004091910608,0.9553006733694398,0.9531004091910608,0.9305244860835815,1.0,0.006666666666666667,0.013245033112582781,0.9530856423173804,1.0,0.9759793648234725
0.24,0.9534151715454832,0.9555866848088748,0.9534151715454832,0.931291548754992,1.0,0.013333333333333334,0.02631578947368421,0.9533858267716535,1.0,0.9761367300870687
0.25,0.9534151715454832,0.9555866848088748,0.9534151715454832,0.931291548754992,1.0,0.013333333333333334,0.02631578947368421,0.9533858267716535,1.0,0.9761367300870687
0.26,0.9534151715454832,0.9555866848088748,0.9534151715454832,0.931291548754992,1.0,0.013333333333333334,0.02631578947368421,0.9533858267716535,1.0,0.9761367300870687
0.27,0.9534151715454832,0.9555866848088748,0.9534151715454832,0.931291548754992,1.0,0.013333333333333334,0.02631578947368421,0.9533858267716535,1.0,0.9761367300870687
0.28,0.9537299338999056,0.9558728764697588,0.9537299338999056,0.932050592761229,1.0,0.02,0.0392156862745098,0.9536862003780718,1.0,0.9762941461054668
0.29,0.9537299338999056,0.9558728764697588,0.9537299338999056,0.932050592761229,1.0,0.02,0.0392156862745098,0.9536862003780718,1.0,0.9762941461054668
0.3,0.954044696254328,0.9561592485224868,0.954044696254328,0.9328017752755027,1.0,0.02666666666666667,0.05194805194805195,0.9539867633154743,1.0,0.9764516129032258
0.31,0.954044696254328,0.9561592485224868,0.954044696254328,0.9328017752755027,1.0,0.02666666666666667,0.05194805194805195,0.9539867633154743,1.0,0.9764516129032258
0.32,0.9543594586087504,0.9564458011376694,0.9543594586087504,0.9335452494155594,1.0,0.03333333333333333,0.06451612903225806,0.9542875157629256,1.0,0.9766091305049202
0.33,0.9543594586087504,0.9564458011376694,0.9543594586087504,0.9335452494155594,1.0,0.03333333333333333,0.06451612903225806,0.9542875157629256,1.0,0.9766091305049202
0.34,0.9543594586087504,0.9564458011376694,0.9543594586087504,0.9335452494155594,1.0,0.03333333333333333,0.06451612903225806,0.9542875157629256,1.0,0.9766091305049202
0.35,0.9543594586087504,0.9564458011376694,0.9543594586087504,0.9335452494155594,1.0,0.03333333333333333,0.06451612903225806,0.9542875157629256,1.0,0.9766091305049202
0.36,0.9543594586087504,0.9564458011376694,0.9543594586087504,0.9335452494155594,1.0,0.03333333333333333,0.06451612903225806,0.9542875157629256,1.0,0.9766091305049202
0.37,0.9543594586087504,0.9564458011376694,0.9543594586087504,0.9335452494155594,1.0,0.03333333333333333,0.06451612903225806,0.9542875157629256,1.0,0.9766091305049202
0.38,0.9543594586087504,0.9564458011376694,0.9543594586087504,0.9335452494155594,1.0,0.03333333333333333,0.06451612903225806,0.9542875157629256,1.0,0.9766091305049202
0.39,0.9543594586087504,0.9564458011376694,0.9543594586087504,0.9335452494155594,1.0,0.03333333333333333,0.06451612903225806,0.9542875157629256,1.0,0.9766091305049202
0.4,0.9543594586087504,0.9564458011376694,0.9543594586087504,0.9335452494155594,1.0,0.03333333333333333,0.06451612903225806,0.9542875157629256,1.0,0.9766091305049202
0.41,0.9543594586087504,0.9564458011376694,0.9543594586087504,0.9335452494155594,1.0,0.03333333333333333,0.06451612903225806,0.9542875157629256,1.0,0.9766091305049202
0.42,0.954044696254328,0.9485630071150586,0.954044696254328,0.9333684027677429,0.8333333333333334,0.03333333333333333,0.0641025641025641,0.9542730999684642,0.9996696399074991,0.9764440141981284
0.43,0.954044696254328,0.9485630071150586,0.954044696254328,0.9333684027677429,0.8333333333333334,0.03333333333333333,0.0641025641025641,0.9542730999684642,0.9996696399074991,0.9764440141981284
0.44,0.954044696254328,0.9485630071150586,0.954044696254328,0.9333684027677429,0.8333333333333334,0.03333333333333333,0.0641025641025641,0.9542730999684642,0.9996696399074991,0.9764440141981284
0.45,0.954044696254328,0.9485630071150586,0.954044696254328,0.9333684027677429,0.8333333333333334,0.03333333333333333,0.0641025641025641,0.9542730999684642,0.9996696399074991,0.9764440141981284
0.46,0.954044696254328,0.9485630071150586,0.954044696254328,0.9333684027677429,0.8333333333333334,0.03333333333333333,0.0641025641025641,0.9542730999684642,0.9996696399074991,0.9764440141981284
0.47,0.9543594586087504,0.9499739778486169,0.9543594586087504,0.9341007098149277,0.8571428571428571,0.04,0.07643312101910828,0.9545741324921135,0.9996696399074991,0.9766015814103598
0.48,0.9543594586087504,0.9499739778486169,0.9543594586087504,0.9341007098149277,0.8571428571428571,0.04,0.07643312101910828,0.9545741324921135,0.9996696399074991,0.9766015814103598
0.49,0.9543594586087504,0.9499739778486169,0.9543594586087504,0.9341007098149277,0.8571428571428571,0.04,0.07643312101910828,0.9545741324921135,0.9996696399074991,0.9766015814103598
0.5,0.9543594586087504,0.9499739778486169,0.9543594586087504,0.9341007098149277,0.8571428571428571,0.04,0.07643312101910828,0.9545741324921135,0.9996696399074991,0.9766015814103598
0.51,0.9543594586087504,0.9499739778486169,0.9543594586087504,0.9341007098149277,0.8571428571428571,0.04,0.07643312101910828,0.9545741324921135,0.9996696399074991,0.9766015814103598
0.52,0.954044696254328,0.9449016394956928,0.954044696254328,0.9339204972966889,0.75,0.04,0.0759493670886076,0.9545597980435468,0.9993392798149984,0.9764364105874758
0.53,0.954044696254328,0.9449016394956928,0.954044696254328,0.9339204972966889,0.75,0.04,0.0759493670886076,0.9545597980435468,0.9993392798149984,0.9764364105874758
0.54,0.9537299338999056,0.940953443786305,0.9537299338999056,0.9337405212694094,0.6666666666666666,0.04,0.07547169811320754,0.9545454545454546,0.9990089197224975,0.976271186440678
0.55,0.9534151715454832,0.9377921453325474,0.9534151715454832,0.9335607763216589,0.6,0.04,0.075,0.9545311019892643,0.9986785596299967,0.9761059089441395
0.56,0.9534151715454832,0.9377921453325474,0.9534151715454832,0.9335607763216589,0.6,0.04,0.075,0.9545311019892643,0.9986785596299967,0.9761059089441395
0.57,0.9534151715454832,0.9377921453325474,0.9534151715454832,0.9335607763216589,0.6,0.04,0.075,0.9545311019892643,0.9986785596299967,0.9761059089441395
0.58,0.9534151715454832,0.9377921453325474,0.9534151715454832,0.9335607763216589,0.6,0.04,0.075,0.9545311019892643,0.9986785596299967,0.9761059089441395
0.59,0.9537299338999056,0.9397962903883638,0.9537299338999056,0.9342754684889016,0.6363636363636364,0.04666666666666667,0.08695652173913043,0.9548325963360708,0.9986785596299967,0.9762635233327951
0.6,0.952470884482216,0.9317297176874345,0.952470884482216,0.9335455291824011,0.4666666666666667,0.04666666666666667,0.08484848484848485,0.954775458570525,0.9973571192599934,0.9756018742931006
0.61,0.952470884482216,0.9317297176874345,0.952470884482216,0.9335455291824011,0.4666666666666667,0.04666666666666667,0.08484848484848485,0.954775458570525,0.9973571192599934,0.9756018742931006
0.62,0.952470884482216,0.9317297176874345,0.952470884482216,0.9335455291824011,0.4666666666666667,0.04666666666666667,0.08484848484848485,0.954775458570525,0.9973571192599934,0.9756018742931006
0.63,0.952470884482216,0.9317297176874345,0.952470884482216,0.9335455291824011,0.4666666666666667,0.04666666666666667,0.08484848484848485,0.954775458570525,0.9973571192599934,0.9756018742931006
0.64,0.9521561221277935,0.930339000848096,0.9521561221277935,0.9333636664804361,0.4375,0.04666666666666667,0.08433734939759036,0.9547611515343246,0.9970267591674926,0.9754363283775048
0.65,0.9518413597733711,0.9291102854165657,0.9518413597733711,0.9331820418081123,0.4117647058823529,0.04666666666666667,0.08383233532934131,0.954746835443038,0.9966963990749917,0.9752707289477938
0.66,0.9515265974189487,0.9280165697120896,0.9515265974189487,0.9330006499796825,0.3888888888888889,0.04666666666666667,0.08333333333333333,0.9547325102880658,0.9963660389824909,0.9751050759780149
0.67,0.9515265974189487,0.9280165697120896,0.9515265974189487,0.9330006499796825,0.3888888888888889,0.04666666666666667,0.08333333333333333,0.9547325102880658,0.9963660389824909,0.9751050759780149
