iter	Passed	Remaining
585	7112	5024
586	7123	5012
587	7134	4998
588	7146	4986
589	7156	4973
590	7167	4960
591	7178	4947
592	7188	4934
593	7199	4920
594	7210	4907
595	7221	4895
596	7233	4882
597	7245	4870
598	7255	4857
599	7266	4844
600	7278	4832
601	7288	4818
602	7299	4805
603	7310	4792
604	7321	4780
605	7332	4767
606	7342	4754
607	7355	4742
608	7367	4730
609	7379	4717
610	7391	4705
611	7402	4693
612	7414	4680
613	7425	4668
614	7437	4655
615	7448	4643
616	7460	4631
617	7472	4619
618	7484	4607
619	7497	4595
620	7509	4583
621	7520	4570
622	7531	4557
623	7543	4545
624	7554	4532
625	7565	4519
626	7575	4506
627	7585	4493
628	7596	4480
629	7606	4467
630	7617	4454
631	7628	4441
632	7638	4428
633	7649	4415
634	7660	4403
635	7670	4389
636	7681	4377
637	7692	4364
638	7702	4351
639	7713	4338
640	7723	4325
641	7734	4312
642	7745	4300
643	7755	4287
644	7766	4274
645	7778	4262
646	7790	4250
647	7802	4238
648	7814	4226
649	7827	4214
650	7839	4202
651	7851	4190
652	7862	4178
653	7875	4166
654	7886	4154
655	7898	4142
656	7911	4130
657	7923	4118
658	7935	4106
659	7946	4093
660	7957	4081
661	7968	4068
662	7979	4055
663	7989	4043
664	8000	4030
665	8011	4017
666	8022	4005
667	8033	3992
668	8044	3980
669	8055	3967
670	8065	3954
671	8077	3942
672	8087	3929
673	8098	3917
674	8109	3904
675	8120	3891
676	8130	3879
677	8140	3866
678	8151	3853
679	8162	3841
680	8173	3828
681	8183	3815
682	8194	3803
683	8204	3790
684	8215	3777
685	8226	3765
686	8237	3752
687	8247	3740
688	8260	3728
689	8271	3716
690	8283	3704
691	8295	3692
692	8308	3680
693	8320	3668
694	8332	3656
695	8345	3645
696	8357	3633
697	8369	3621
698	8381	3609
699	8393	3597
700	8405	3585
701	8416	3572
702	8427	3560
703	8438	3547
704	8449	3535
705	8460	3523
706	8470	3510
707	8481	3498
708	8492	3485
709	8503	3473
710	8514	3460
711	8524	3448
712	8535	3435
713	8546	3423
714	8556	3410
715	8568	3398
716	8579	3386
717	8590	3373
718	8600	3361
719	8611	3349
720	8622	3336
721	8632	3323
722	8644	3311
723	8654	3299
724	8665	3286
725	8675	3274
726	8686	3261
727	8697	3249
728	8707	3236
729	8718	3224
730	8728	3212
731	8740	3200
732	8752	3187
733	8764	3176
734	8776	3164
735	8788	3152
736	8800	3140
737	8812	3128
738	8824	3116
739	8836	3104
740	8848	3092
741	8861	3081
742	8874	3069
743	8886	3057
744	8898	3045
745	8910	3033
746	8922	3022
747	8934	3009
748	8944	2997
749	8954	2984
750	8965	2972
751	8976	2960
752	8987	2948
753	8998	2935
754	9008	2923
755	9018	2910
756	9029	2898
757	9040	2886
758	9051	2874
759	9061	2861
760	9072	2849
761	9082	2836
762	9092	2824
763	9103	2811
764	9113	2799
765	9124	2787
766	9137	2775
767	9148	2763
768	9158	2751
769	9168	2738
770	9178	2726
771	9189	2713
772	9199	2701
773	9210	2689
774	9221	2677
775	9231	2664
776	9242	2652
777	9253	2640
778	9263	2627
779	9273	2615
780	9284	2603
781	9294	2591
782	9304	2578
783	9315	2566
784	9328	2554
785	9339	2542
786	9351	2530
787	9363	2518
788	9374	2507
789	9386	2495
790	9398	2483
791	9410	2471
792	9422	2459
793	9434	2447
794	9446	2435
795	9458	2423
796	9469	2411
797	9481	2400
798	9492	2388
799	9503	2375
800	9515	2363
801	9525	2351
802	9537	2339
803	9548	2327
804	9558	2315
805	9569	2303
806	9580	2291
807	9590	2279
808	9601	2266
809	9612	2254
810	9623	2242
811	9634	2230
812	9644	2218
813	9655	2206
814	9666	2194
815	9676	2182
816	9687	2169
817	9698	2157
818	9708	2145
819	9719	2133
820	9730	2121
821	9741	2109
822	9752	2097
823	9763	2085
824	9773	2073
825	9784	2061
826	9795	2049
827	9805	2036
828	9816	2024
829	9827	2012
830	9838	2000
831	9849	1988
832	9859	1976
833	9869	1964
834	9880	1952
835	9891	1940
836	9903	1928
837	9918	1917
838	9930	1905
839	9942	1893
840	9954	1881
841	9966	1870
842	9979	1858
843	9990	1846
844	10002	1834
845	10013	1822
846	10025	1810
847	10037	1799
848	10048	1787
849	10060	1775
850	10070	1763
851	10081	1751
852	10091	1739
853	10102	1727
854	10113	1715
855	10124	1703
856	10135	1691
857	10145	1679
858	10156	1667
859	10166	1655
860	10177	1642
861	10188	1631
862	10199	1619
863	10211	1607
864	10222	1595
865	10233	1583
866	10243	1571
867	10254	1559
868	10265	1547
869	10276	1535
870	10286	1523
871	10297	1511
872	10308	1499
873	10320	1487
874	10331	1475
875	10343	1464
876	10353	1452
877	10364	1440
878	10376	1428
879	10388	1416
880	10398	1404
881	10408	1392
882	10419	1380
883	10429	1368
884	10441	1356
885	10452	1344
886	10463	1332
887	10473	1320
888	10485	1309
889	10496	1297
890	10506	1285
891	10517	1273
892	10528	1261
893	10538	1249
894	10550	1237
895	10564	1226
896	10577	1214
897	10590	1202
898	10603	1191
899	10617	1179
900	10629	1167
901	10642	1156
902	10655	1144
903	10667	1132
904	10681	1121
905	10694	1109
906	10707	1097
907	10720	1086
908	10732	1074
909	10744	1062
910	10757	1050
911	10769	1039
912	10782	1027
913	10796	1015
914	10809	1004
915	10823	992
916	10838	980
917	10854	969
918	10867	957
919	10880	946
920	10894	934
921	10907	922
922	10920	910
923	10932	899
924	10945	887
925	10957	875
926	10969	863
927	10981	852
928	10993	840
929	11004	828
930	11015	816
931	11027	804
932	11039	792
933	11051	780
934	11064	769
935	11077	757
936	11089	745
937	11102	733
938	11115	722
939	11127	710
940	11140	698
941	11152	686
942	11165	674
943	11177	663
944	11191	651
945	11204	639
946	11217	627
947	11228	615
948	11239	604
949	11251	592
950	11262	580
951	11273	568
952	11285	556
953	11296	544
954	11307	532
955	11319	521
956	11335	509
957	11351	497
958	11371	486
959	11395	474
960	11412	463
961	11432	451
962	11450	439
963	11467	428
964	11484	416
965	11499	404
966	11512	392
967	11527	381
968	11539	369
969	11551	357
970	11562	345
971	11575	333
972	11588	321
973	11602	309
974	11613	297
975	11625	285
976	11636	273
977	11650	262
978	11662	250
979	11674	238
980	11687	226
981	11699	214
982	11711	202
983	11724	190
984	11736	178
985	11750	166
986	11762	154
987	11775	143
988	11787	131
989	11799	119
990	11811	107
991	11822	95
992	11834	83
993	11846	71
994	11858	59
995	11870	47
996	11882	35
997	11893	23
998	11904	11
999	11916	0
