iter	Logloss
0	0.6595930221
1	0.6349204524
2	0.6128622399
3	0.5876228205
4	0.5679985992
5	0.5570828051
6	0.5409442157
7	0.5265010754
8	0.5126855568
9	0.5019656252
10	0.4899171301
11	0.478368431
12	0.4628239825
13	0.4571071639
14	0.4466737737
15	0.4362058693
16	0.4218520496
17	0.412396278
18	0.4047567188
19	0.3946457114
20	0.3899812076
21	0.3833359231
22	0.3789384641
23	0.3738682503
24	0.3702264082
25	0.3626992462
26	0.356029403
27	0.3513939461
28	0.34513047
29	0.3363163703
30	0.3331180052
31	0.3284991818
32	0.322669441
33	0.3165285413
34	0.311865999
35	0.3080783373
36	0.3038721638
37	0.2994918495
38	0.2968366967
39	0.2940759379
40	0.2865233095
41	0.2840342284
42	0.2815472281
43	0.2791800487
44	0.2754916444
45	0.2735981912
46	0.2710114158
47	0.2680947199
48	0.264781986
49	0.2614332776
50	0.2602473054
51	0.2571602336
52	0.2544563112
53	0.252905552
54	0.2511234967
55	0.2487519096
56	0.2468630049
57	0.2452763144
58	0.2434013191
59	0.2410139993
60	0.2390577711
61	0.236236473
62	0.234171001
63	0.2332526293
64	0.2325043511
65	0.2316814381
66	0.2298804485
67	0.2253012102
68	0.2218210289
69	0.2201790417
70	0.2192880074
71	0.2182126992
72	0.2172621197
73	0.2158964628
74	0.2151073372
75	0.2136812336
76	0.2129201398
77	0.2124177604
78	0.2107344275
79	0.2101345672
80	0.2095235769
81	0.2073216986
82	0.2048710599
83	0.2034358043
84	0.2026471563
85	0.2003909661
86	0.1993341936
87	0.1987835025
88	0.1974308499
89	0.196962727
90	0.1949942257
91	0.1944835688
92	0.1939627186
93	0.1935844567
94	0.1924638884
95	0.1919513537
96	0.1914465696
97	0.190758107
98	0.1897972492
99	0.1892092284
100	0.1886118141
101	0.1878022849
102	0.186160606
103	0.1853818101
104	0.1848166175
105	0.1835296739
106	0.1819616931
107	0.1815097098
108	0.1811660224
109	0.1805096374
110	0.1801267193
111	0.179273103
112	0.1788907476
113	0.1779365806
114	0.1772859563
115	0.1767823079
116	0.1763479257
117	0.175763922
118	0.1753797179
119	0.174091006
120	0.1737868446
121	0.1733146491
122	0.1726971093
123	0.1723120066
124	0.1718265095
125	0.1714015768
126	0.1704107333
127	0.1701303601
128	0.1697967231
129	0.1694642798
130	0.168781302
131	0.1683307375
132	0.1676561207
133	0.1665171096
134	0.1657573615
135	0.1649889065
136	0.1633111118
137	0.1626314709
138	0.1623211174
139	0.1620852834
140	0.1615349417
141	0.1609049431
142	0.1603674794
143	0.1600952395
144	0.1598433136
145	0.1595737631
146	0.1592148232
147	0.1588781017
148	0.158597816
149	0.1577445599
150	0.1574394434
151	0.1564638333
152	0.1555551667
153	0.155170128
154	0.1548157636
155	0.1546461829
156	0.1540324543
157	0.15380938
158	0.1535780052
159	0.1533486419
160	0.1530466029
161	0.15281933
162	0.1525171861
163	0.1517427889
164	0.1514992385
165	0.1507703033
166	0.1502566907
167	0.150002983
168	0.1498518936
169	0.1496097648
170	0.1490486702
171	0.148559841
172	0.148345094
173	0.1479919485
174	0.147375327
175	0.1466541801
176	0.1464114835
177	0.1460915073
178	0.1459801158
179	0.1453113163
180	0.1448755541
181	0.1447121647
182	0.1444109218
183	0.1441546204
184	0.1438764909
185	0.143494223
